customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,Washington,F,Master,588174,0,1000,0,Personal Auto,Four-Door Car,3
QZ44356,Arizona,F,Bachelor,697954,0,94,0,Personal Auto,Four-Door Car,1131
AI49188,Nevada,F,Bachelor,1288743,48767,108,0,Personal Auto,Two-Door Car,566
WW63253,California,M,Bachelor,764586,0,106,0,Corporate Auto,SUV,530
GA49547,Washington,M,High School or Below,536308,36357,68,0,Personal Auto,Four-Door Car,17
OC83172,Oregon,F,Bachelor,825630,62902,69,0,Personal Auto,Two-Door Car,159
XZ87318,Oregon,F,College,538090,55350,67,0,Corporate Auto,Four-Door Car,322
CF85061,Arizona,M,Master,721610,0,101,0,Corporate Auto,Four-Door Car,363
DY87989,Oregon,M,Bachelor,2412750,14072,71,0,Corporate Auto,Four-Door Car,511
BQ94931,Oregon,F,College,738818,28812,93,0,Special Auto,Four-Door Car,426
SX51350,California,M,College,473899,0,67,0,Personal Auto,Four-Door Car,482
VQ65197,California,F,College,819720,0,110,0,Personal Auto,SUV,528
DP39365,California,F,Master,879880,77026,110,2,Corporate Auto,Four-Door Car,472
SJ95423,Arizona,F,High School or Below,881902,99845,110,1,Corporate Auto,SUV,528
IL66569,California,F,College,538443,83689,70,2,Corporate Auto,Four-Door Car,307
BW63560,Oregon,F,Bachelor,746314,24599,64,1,Corporate Auto,Four-Door Car,43
FV94802,Nevada,F,High School or Below,256687,25049,67,0,Personal Auto,Two-Door Car,454
OE15005,California,F,College,394524,28855,101,0,Personal Auto,SUV,647
WC83389,Oregon,F,College,571033,51148,72,0,Personal Auto,Four-Door Car,309
FL50705,California,F,High School or Below,816262,66140,101,0,Corporate Auto,Four-Door Car,485
ZK25313,Oregon,F,High School or Below,287205,57749,74,0,Personal Auto,Two-Door Car,355
QK46697,Washington,M,Bachelor,617711,61040,79,1,Personal Auto,Two-Door Car,20
YH23384,Arizona,F,Bachelor,2412750,14072,71,0,Personal Auto,Four-Door Car,511
TZ98966,Nevada,F,Bachelor,245019,0,73,3,Corporate Auto,Four-Door Car,554
HM55802,California,F,Bachelor,239211,17870,61,0,Corporate Auto,Four-Door Car,439
FS42516,Oregon,F,College,580207,97541,72,0,Personal Auto,Four-Door Car,389
US89481,California,F,Bachelor,394637,0,111,0,Personal Auto,Four-Door Car,799
HS14476,Washington,M,College,916206,29723,80,0,Personal Auto,Four-Door Car,21
GE62437,Arizona,F,College,1290256,86584,111,2,Personal Auto,Four-Door Car,533
EJ77678,Oregon,F,Master,323536,75690,80,1,Personal Auto,Four-Door Car,384
SV85652,Arizona,F,College,245458,23158,63,1,Personal Auto,Four-Door Car,322
UL64533,Nevada,F,High School or Below,1897546,65999,237,0,Corporate Auto,Luxury,616
PF41800,California,F,Bachelor,471532,0,65,0,Personal Auto,Four-Door Car,308
HD95276,Washington,F,College,473787,0,130,0,Personal Auto,SUV,24
SK67821,Oregon,F,Bachelor,493292,37260,62,0,Corporate Auto,Four-Door Car,15
YV55495,Arizona,F,High School or Below,574423,68987,71,0,Personal Auto,Four-Door Car,204
KY38074,California,F,Bachelor,1389174,42305,117,0,Personal Auto,Four-Door Car,562
DM79012,Oregon,F,Master,738098,65706,91,0,Personal Auto,Four-Door Car,437
CM61827,Oregon,F,Bachelor,309003,0,90,0,Personal Auto,Two-Door Car,648
WC35801,Arizona,F,High School or Below,252163,53243,66,2,Personal Auto,Four-Door Car,157
QG25316,Nevada,F,High School or Below,265206,0,70,1,Corporate Auto,Two-Door Car,484
MB98372,Oregon,F,College,277104,50071,71,0,Corporate Auto,Two-Door Car,19
IL19217,California,F,Bachelor,393901,60021,99,0,Personal Auto,Four-Door Car,883
